unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HAC;Janeiro;2023;I;0 a 4;4;1;0;0,04
HAC;Janeiro;2023;II;5 a 9;8;2;0;0,16
HAC;Janeiro;2023;III;10 a 14;15;12;2;1,8
HAC;Janeiro;2023;IV;15 a 19;25;12;2;3
HAC;Janeiro;2023;V;20 a 24;40;7;2;2,8
HAC;Janeiro;2023;VI;25 a 29;55;2;1;1,1
HAC;Janeiro;2023;VII;30 a 34;75;0;0;0
HAC;Janeiro;2023;VIII;> 34;85;1;1;0,85
HAC;Fevereiro;2023;I;0 a 4;4;2;8;0,08
HAC;Fevereiro;2023;II;5 a 9;8;6;0;0,48
HAC;Fevereiro;2023;III;10 a 14;15;16;1;2,4
HAC;Fevereiro;2023;IV;15 a 19;25;4;0;1
HAC;Fevereiro;2023;V;20 a 24;40;5;1;2
HAC;Fevereiro;2023;VI;25 a 29;55;1;0;0,55
HAC;Fevereiro;2023;VII;30 a 34;75;1;0;0,75
HAC;Fevereiro;2023;VIII;> 34;85;0;0;0
HAC;Março;2023;I;0 a 4;4;0;8;0
HAC;Março;2023;II;5 a 9;8;7;0;0,56
HAC;Março;2023;III;10 a 14;15;16;0;2,4
HAC;Março;2023;IV;15 a 19;25;11;3;2,75
HAC;Março;2023;V;20 a 24;40;12;3;4,8
HAC;Março;2023;VI;25 a 29;55;1;0;0,55
HAC;Março;2023;VII;30 a 34;75;4;3;3
HAC;Março;2023;VIII;> 34;85;2;1;1,7
HAC;Abril;2023;I;0 a 4;4;0;0;0
HAC;Abril;2023;II;5 a 9;8;6;0;0,48
HAC;Abril;2023;III;10 a 14;15;8;0;1,2
HAC;Abril;2023;IV;15 a 19;25;12;1;3
HAC;Abril;2023;V;20 a 24;40;7;1;2,8
HAC;Abril;2023;VI;25 a 29;55;1;1;0,55
HAC;Abril;2023;VII;30 a 34;75;1;1;0,75
HAC;Abril;2023;VIII;> 34;85;1;1;0,85
HAC;Maio;2023;I;0 a 4;4;0;0;0
HAC;Maio;2023;II;5 a 9;8;1;0;0,08
HAC;Maio;2023;III;10 a 14;15;9;0;1,35
HAC;Maio;2023;IV;15 a 19;25;8;1;2
HAC;Maio;2023;V;20 a 24;40;12;0;4,8
HAC;Maio;2023;VI;25 a 29;55;5;3;2,75
HAC;Maio;2023;VII;30 a 34;75;1;0;0,75
HAC;Maio;2023;VIII;> 34;85;4;4;3,4
HAC;Junho;2023;I;0 a 4;4;0;0;0
HAC;Junho;2023;II;5 a 9;8;1;0;0,08
HAC;Junho;2023;III;10 a 14;15;4;0;0,6
HAC;Junho;2023;IV;15 a 19;25;12;1;3
HAC;Junho;2023;V;20 a 24;40;10;1;4
HAC;Junho;2023;VI;25 a 29;55;5;3;2,75
HAC;Junho;2023;VII;30 a 34;75;2;2;1,5
HAC;Junho;2023;VIII;> 34;85;1;1;0,85
HAC;Julho;2023;I;0 a 4;4;2;0;0,08
HAC;Julho;2023;II;5 a 9;8;5;0;0,4
HAC;Julho;2023;III;10 a 14;15;23;3;3,45
HAC;Julho;2023;IV;15 a 19;25;10;0;2,5
HAC;Julho;2023;V;20 a 24;40;2;1;0,8
HAC;Julho;2023;VI;25 a 29;55;1;1;0,55
